SPECIES_ID,SCIENTIFIC_NAME,COMMON_NAME,PACFIN_CODE,SPECIES_CODE,ACTIVE,NOTES,
10309,Prionace glauca,Blue Shark,BSRK,69,,,
10187,Bathyagonus pentacanthus,Bigeye Starsnout Poacher,BSTP,454,,PACFIN_CODE was previously null.,
10057,Chionoecetes bairdi,Bairdi Tanner Crab,BTCR,4,,,
10651,Pennatulacea,Sea Whips,OTHR,1254,0,,
10399,Thunnus thynnus,Bluefin Tuna,BTNA,712,,,
10210,Myliobatis californica,Bat Ray,BTRY,561,,,
10165,Auxis rochei,Bullet Mackerel,BUMA,198,,PACFIN_CODE was previously null.,
10286,Enophrys bison,Buffalo Sculpin,BUSC,409,,PACFIN_CODE was previously null.,
10326,Puffinus opisthomelas,Black-vented Shearwater,BVSH,953,,PACFIN_CODE was previously null.,
10217,Sebastes chrysomelas,Black and Yellow Rockfish,BYEL,355,,,
10446,Ptychoramphus aleuticus,Cassins Auklet,CAAU,996,,PACFIN_CODE was previously null.,
10052,Menticirrhus undulatus,California Corbina,CACO,692,,PACFIN_CODE was previously null.,
10616,Nezumia stelgidolepis,California Grenadier,CAGR,1225,,PACFIN_CODE was previously null.,
10129,Larus californicus,California Gull,CAGU,975,,PACFIN_CODE was previously null.,
10156,Synodus lucioceps,California Lizardfish,CALI,151,,PACFIN_CODE was previously null.,
10602,Gymnothorax mordax,California Moray,CAMO,1212,,PACFIN_CODE was previously null.,
10300,Zalophus californianus,California Sea Lion,CASL,1024,,PACFIN_CODE was previously null.,
10383,Amphistichus koelzi,Calico Surfperch,CASU,631,,PACFIN_CODE was previously null.,
10510,Hydroprogne caspia,Caspian Tern,CATE,911,,PACFIN_CODE was previously null.,
10395,Symphurus atricauda,California Tonguefish,CATO,113,,PACFIN_CODE was previously null.,
10331,Pandalus jordani,Pink Shrimp,PSHP,73,0,,
10567,Scyliorhinidae,Cat Shark Unid,CATU,870,,PACFIN_CODE was previously null.,
10070,Cancridae,Cancer Unid Crab,CAUC,10,,PACFIN_CODE was previously null.,
10084,Tursiops truncatus,Common Bottlenose Dolphin,CBDO,1009,,PACFIN_CODE was previously null.,
10626,Gymnura marmorata,California Butterfly Ray,CBRA,1234,,PACFIN_CODE was previously null.,
10449,Ziphius cavirostris,Cuviers Beaked Whale,CBWH,1003,,PACFIN_CODE was previously null.,
10045,Scorpaenichthys marmoratus,Cabezon,CBZN,689,,,
10551,Delphinus,Common Unid Dolphin,CDOL,1044,,PACFIN_CODE was previously null.,
10079,Chilara taylori,Spotted Cusk-eel,CEEL,261,,,
10705,Cetacean Unid,Cetacean Unid,CETU,1295,,PACFIN_CODE was previously null.,
10450,Neoloricata,Chiton Unid,CHIU,28,,PACFIN_CODE was previously null.,
10140,Paralichthys californicus,California Halibut,CHLB,124,,,
10225,Sebastes nebulosus,China Rockfish,CHNA,359,,,
10436,Oncorhynchus tshawytscha,Chinook [King] Salmon,CHNK,222,,,
10435,Oncorhynchus keta,Chum [Dog] Salmon,CHUM,221,,,
10530,Paralithodes californiensis,California King Crab,CKCR,7,,PACFIN_CODE was previously null.,
10222,Sebastes dalli,Calico Rockfish,CLCO,357,,,
10485,Sebastes goodei,Chilipepper Rockfish,CLPR,325,,,
10685,Sternula antillarum browni,California Least Tern,CLTE,1286,,PACFIN_CODE was previously null.,
10224,Sebastes phillipsi,Chameleon Rockfish,CMEL,358,,,
10433,Uria aalge,Common Murre,CNMU,989,,PACFIN_CODE was previously null.,
10223,Sebastes pinniger,Canary Rockfish,CNRY,314,,,
10639,Gadidae,Cod Unid,CODU,1247,,PACFIN_CODE was previously null.,
10439,Oncorhynchus kisutch,Coho [Silver] Salmon,COHO,223,,,
10158,Gavia immer,Common Loon,COLO,941,,PACFIN_CODE was previously null.,
10599,Zaniolepis,Combfish Unid,COMU,1210,,PACFIN_CODE was previously null.,
10226,Sebastes caurinus,Copper Rockfish,COPP,327,,,
10051,Anthozoa,Corals Unid,CORU,32,,PACFIN_CODE was previously null.,
10046,Mallotus villosus,Capelin,CPLN,604,,,
10613,Poromitra crassiceps,Crested Bigscale,CRBI,1221,,PACFIN_CODE was previously null.,
10073,Brachyura/Anomura,Crab Unid,CRBU,1,,PACFIN_CODE was previously null.,
10455,Crinoidea,Crinoids Unid,CRIU,53,,PACFIN_CODE was previously null.,
10055,Phalacrocoracidae,Cormorant Unid,CRMU,961,,PACFIN_CODE was previously null.,
10077,Sciaenidae,Croaker Unid,CROU,727,,PACFIN_CODE was previously null.,
10598,Crustacea,Crustacean Unid,CRUU,892,,PACFIN_CODE was previously null.,
10529,Alepocephalus tenebrosus,California Slickhead,CSHD,160,,PACFIN_CODE was previously null.,
10336,Raja inornata,California Skate,CSKT,552,,,
10401,Pleuronichthys decurrens,Curlfin Sole,CSOL,117,,,
10442,Pleuronichthys coenosus,C-O [C-O Turbot] Sole,CTRB,118,,,
10023,Sphyraena argentea,California Barracuda,CUDA,682,,,
10080,Ophidiidae,Cusk-eel Unid,CUSU,262,,PACFIN_CODE was previously null.,
10396,Oncorhynchus clarkii clarkii,Cutthroat Trout,CUTR,227,,PACFIN_CODE was previously null.,
10227,Sebastes levis,Cowcod Rockfish,CWCD,360,,,
10202,Phocoenoides dalli,Dalls Porpoise,DAPO,1021,,PACFIN_CODE was previously null.,
10486,Sebastes crameri,Darkblotched Rockfish,DBRK,311,,,
10053,Phalacrocorax auritus,Double-crested Cormorant,DCCO,963,,PACFIN_CODE was previously null.,
10061,Cancer magister,Dungeness Crab,DCRB,12,,,
10013,Anchoa compressa,Deepbody Anchovy,DEAN,609,,PACFIN_CODE was previously null.,
10060,Majidae,Decorator/Spider Crab Unid,DECU,39,,PACFIN_CODE was previously null.,
10082,Bathylagidae,Deepsea smelt Unid,DEEU,693,,PACFIN_CODE was previously null.,
10458,Decomposed fish,Decomposed Fish,DEFI,899,,PACFIN_CODE was previously null.,
10525,Bathyraja abyssicola,Deepsea Skate,DESK,553,,PACFIN_CODE was previously null.,
10354,Embassichthys bathybius,Deepsea Sole,DESO,110,,PACFIN_CODE was previously null.,
10374,Dasyatis dipterura,Diamond Stingray,DIST,559,,PACFIN_CODE was previously null.,
10092,Coryphaena hippurus,Dolphinfish,DOLP,694,,PACFIN_CODE was previously null.,
10091,Delphinidae,Dolphin Unid,DOLU,1016,,PACFIN_CODE was previously null.,
10083,Salvelinus malma,Dolly Varden,DOVA,228,,PACFIN_CODE was previously null.,
10355,Microstomus pacificus,Dover Sole,DOVR,107,,,
10663,Ceratioidea,Dreamers Unid,DRMR,1266,,Changed from MSC2,
10644,Stomiidae,Dragonfish Unid,DRUN,1101,,PACFIN_CODE was previously null.,
10568,Glyptolithodes cristatipes,Deep-sea Rock Crab,DSRC,871,,PACFIN_CODE was previously null.,
10499,Squalus suckleyi,Pacific Spiny Dogfish,DSRK,66,,,
10569,Paralomis manningi,Deep-sea Spider Crab,DSSC,872,,PACFIN_CODE was previously null.,
10421,Kogia sima,Dwarf Sperm Whale,DSWH,1032,,PACFIN_CODE was previously null.,
10402,Hypsopsetta guttulata,Diamond Turbot,DTRB,121,,,
10670,Nettastomatidae,Duckbill Eels,DUEE,1273,,PACFIN_CODE was previously null.,
10606,Icelinus burchami,Dusky Sculpin,DUSC,1216,,PACFIN_CODE was previously null.,
10228,Sebastes rufinanus,Dwarf-red Rockfish,DWRF,361,,,
10517,Cryptacanthodes aleutensis,Dwarf Wrymouth,DWWR,783,,PACFIN_CODE was previously null.,
10683,Ectoprocta,Ectoprocta,ECTO,1284,,Changed from OTHR,
10102,Zoarcidae,Eelpout Unid,EELU,250,,PACFIN_CODE was previously null.,
10461,Egg case unid,Egg case Unid,EGGU,91,,PACFIN_CODE was previously null.,
10356,Parophrys vetulus,English Sole,EGLS,108,,,
10103,Thaleichthys pacificus,Eulachon,EULC,601,,,
10548,Anoplogaster cornuta,Fangtooth,FANG,855,,PACFIN_CODE was previously null.,
10314,Parmaturus xaniurus,Filetail Cat Shark,FCRK,579,,Changed from OSRK,
10621,Coryphaenoides filifer,Filamented Grenadier,FIGR,1229,,PACFIN_CODE was previously null.,
10104,Vertebrata,Fish Unid,FISU,777,,PACFIN_CODE was previously null.,
10547,Balistes polylepis,Finescale Triggerfish,FITR,854,,PACFIN_CODE was previously null.,
10416,Balaenoptera physalus,Fin Whale,FIWH,1033,,PACFIN_CODE was previously null.,
10229,Sebastes rubrivinctus,Flag Rockfish,FLAG,362,,,
10462,Pleuronectiformes,Flatfish Unid,FLAU,100,,PACFIN_CODE was previously null.,
10552,Exocoetidae,Flying Fish Unid,FLYU,858,,PACFIN_CODE was previously null.,
10357,Xystreurys liolepis,Fantail Sole,FNTS,120,,,
10570,Cancer branneri,Furrowed Rock Crab,FRCB,873,,PACFIN_CODE was previously null.,
10230,Sebastes lentiginosus,Freckled Rockfish,FRCK,363,,,
10166,Auxis thazard,Frigate Mackerel,FRMI,197,,PACFIN_CODE was previously null.,
10288,Icelinus fimbriatus,Fringed Sculpin,FRSC,411,,PACFIN_CODE was previously null.,
10068,Paralomis verrilli,Flat-legged Spider Crab,FSCB,38,,PACFIN_CODE was previously null.,
10358,Hippoglossoides elassodon,Flathead Sole,FSOL,103,,,
10630,Bathyraja microtrachys,Fine-spined Skate,FSSK,1239,,PACFIN_CODE was previously null.,
10508,Oceanodroma furcata,Fork-tailed Storm-Petrel,FTSP,960,,PACFIN_CODE was previously null.,
10112,Arctocephalinae,Fur Seal Unid,FURU,1019,,PACFIN_CODE was previously null.,
10113,"Cans, bottles, old line, etc.",Garbage/ Trash,GARB,667,,PACFIN_CODE was previously null.,
10546,Hypsypops rubicundus,Garibaldi,GARI,853,,PACFIN_CODE was previously null.,
10025,Stereolepis gigas,Giant Sea Bass,GBAS,476,,,
10232,Sebastes rosenblatti,Greenblotched Rockfish,GBLC,366,,,
10032,Mesoplodon ginkgodens,Gingko-toothed Beaked Whale,GBWH,1004,,PACFIN_CODE was previously null.,
10619,Coryphaenoides leptolepis,Ghostly Grenadier,GHGR,1227,,PACFIN_CODE was previously null.,
10122,Albatrossia pectoralis,Giant Grenadier,GIGR,82,,PACFIN_CODE was previously null.,
10424,Cryptacanthodes giganteus,Giant Wrymouth,GIWR,760,,PACFIN_CODE was previously null.,
10128,Larus glaucescens,Glaucous-winged Gull,GLGU,979,,PACFIN_CODE was previously null.,
10588,Alcyonacea,Gorgonian Coral Unid,GORU,1202,,PACFIN_CODE was previously null.,
10487,Sebastes carnatus,Gopher Rockfish,GPHR,364,,,
10231,Sebastes rastrelliger,Grass Rockfish,GRAS,365,,,
10571,Carcinus maenas,Green Crab,GRCB,874,,PACFIN_CODE was previously null.,
10540,Cancer gracilis,Graceful Crab,GRCR,44,,PACFIN_CODE was previously null.,
10464,Hexagrammidae,Greenling Unid,GREE,390,,PACFIN_CODE was previously null.,
10124,Macrouridae,Grenadier Unid,GREN,80,,PACFIN_CODE was previously null.,
10117,Podicipedidae,Grebe Unid,GREU,946,,PACFIN_CODE was previously null.,
10289,Rhamphocottus richardsoni,Grunt Sculpin,GRSC,412,,PACFIN_CODE was previously null.,
10405,Chelonia mydas,Green Turtle,GRTU,1071,,PACFIN_CODE was previously null.,
10419,Eschrichtius robustus,Gray Whale,GRWH,1034,,PACFIN_CODE was previously null.,
10233,Sebastes chlorostictus,Greenspotted Rockfish,GSPT,339,,,
10234,Sebastes elongatus,Greenstriped Rockfish,GSRK,313,,,
10315,Mustelus californicus,Gray Smoothhound Shark,GSSK,580,,PACFIN_CODE was previously null.,
10509,Acipenser medirostris,Green Sturgeon,GSTG,231,,,
10513,Reinhardtius hippoglossoides,Greenland Turbot,GTRB,102,,,
10110,Arctocephalus townsendi,Guadalupe Fur Seal,GUFS,1017,,PACFIN_CODE was previously null.,
10125,Cepphus,Guillemot Unid,GUIU,948,,PACFIN_CODE was previously null.,
10133,Laridae,Gull Unid,GULU,974,,PACFIN_CODE was previously null.,
10134,Pholidae,Gunnel Unid,GUNU,430,,PACFIN_CODE was previously null.,
10067,Paralomis multispina,Hair Crab,HACR,17,,PACFIN_CODE was previously null.,
10135,Sternoptychidae,Hachetfish Unid,HACU,695,,PACFIN_CODE was previously null.,
10139,Medialuna californiensis,Halfmoon,HALF,697,,PACFIN_CODE was previously null.,
10203,Phocoena phocoena,Harbor Porpoise,HAPO,1022,,PACFIN_CODE was previously null.,
10303,Phoca vitulina,Harbor Seal,HASE,1028,,PACFIN_CODE was previously null.,
10406,Eretmochelys imbricata,Hawksbill Turtle,HATU,1072,,PACFIN_CODE was previously null.,
10235,Sebastes semicinctus,Halfbanded Rockfish,HBRK,367,,,
10034,Mesoplodon hectori,Hectors Beaked Whale,HBWH,1005,,PACFIN_CODE was previously null.,
10572,Phyllolithodes papillosus,Heart Crab,HECR,875,,PACFIN_CODE was previously null.,
10131,Larus heermanni,Heermanns Gull,HEGU,978,,PACFIN_CODE was previously null.,
10467,Larus argentatus,Herring Gull,HERG,977,,PACFIN_CODE was previously null.,
10662,Clupeidae,Herring Unid,HERR,1265,,Changed from MSC2,
10062,Paguridae,Hermit Unid Crab,HERU,15,,PACFIN_CODE was previously null.,
10236,Sebastes variegatus,Harlequin Rockfish,HLQN,323,,,
10237,Sebastes umbrosus,Honeycomb Rockfish,HNYC,368,,,
10655,Holaxonia,Horny Gorgonians,HOGO,1258,,PACFIN_CODE was previously null.,
10116,Podiceps auritus,Horned Grebe,HOGR,945,,PACFIN_CODE was previously null.,
10316,Heterodontus francisci,Horn Shark,HOSK,581,,PACFIN_CODE was previously null.,
10403,Pleuronichthys verticalis,Hornyhead Turbot,HTRB,122,,,
10173,Physiculus rastrelliger,Hundred fathom Mora,HUMO,155,,PACFIN_CODE was previously null.,
10443,Dosidicus gigas,Humboldt [Jumbo] Squid,HUSQ,620,,PACFIN_CODE was previously null.,
10033,Mesoplodon carlhubbsi,Hubbs Beaked Whale,HBKW,1006,,PACFIN_CODE was previously null.,
10418,Megaptera novaeangliae,Humpback Whale,HUWH,1035,,PACFIN_CODE was previously null.,
10597,Stylasteridae,Hydrocoral,HYDR,1205,,PACFIN_CODE was previously null.,
10359,Inopsetta ischyra,Hybrid Sole,HYSO,116,,PACFIN_CODE was previously null.,
10144,Animalia,Invertebrate Unid,INVU,13,,PACFIN_CODE was previously null.,
10632,Echinoidea,Irregular Echinoids,IREC,1240,,PACFIN_CODE was previously null.,
10468,Isopoda,Isopod Unid,ISOU,33,,PACFIN_CODE was previously null.,
10308,Alopias superciliosus,Bigeye Thresher Shark,ISRK,575,,,
10342,Atherinopsis californiensis,Jacksmelt,JACK,175,,PACFIN_CODE was previously null.,
10146,Scyphozoa,Jellyfish Unid,JELU,35,,PACFIN_CODE was previously null.,
10167,Trachurus symmetricus,Jackmackerel,JMCK,207,,,
10026,Paralabrax clathratus,Kelp Bass,KEBA,477,,PACFIN_CODE was previously null.,
10573,Pugettia ssp,Kelp Unid Crab,KECR,876,,PACFIN_CODE was previously null.,
10148,Clinidae,Kelpfish Unid,KELU,742,,PACFIN_CODE was previously null.,
10384,Brachyistius frenatus,Kelp Surfperch,KESU,632,,PACFIN_CODE was previously null.,
10147,Heterostichus rostratus,Giant Kelpfish,KFSH,740,,,
10064,Lithodidae,King Unid Crab,KINU,2,,PACFIN_CODE was previously null.,
10149,Trachipterus altivelis,King of the Salmon,KISA,608,,PACFIN_CODE was previously null.,
10516,Orcinus orca,Killer Whale,KIWH,1036,,PACFIN_CODE was previously null.,
10118,Hexagrammos decagrammus,Kelp Greenling,KLPG,392,,,
10238,Sebastes atrovirens,Kelp Rockfish,KLPR,369,,,
10009,Phoebastria immutabilis,Laysan Albatross,LAAL,951,,PACFIN_CODE was previously null.,
10470,Petromyzontidae,Lamprey Unid,LAMU,75,,PACFIN_CODE was previously null.,
10152,Alepisauridae,Lancetfish Unid,LANC,699,,PACFIN_CODE was previously null.,
10153,Myctophidae,Lanternfish Unid,LANU,700,,PACFIN_CODE was previously null.,
10574,Macroregonia macrochira,Long-armed Spider Crab,LASC,877,,PACFIN_CODE was previously null.,
10086,Delphinus capensis,Long-beaked Common Dolphin,LBCD,1010,,PACFIN_CODE was previously null.,
10472,Ophiodon elongatus,Lingcod,LCOD,603,,,
10545,Apristurus kampae,Longnose Cat Shark,LCSH,852,,PACFIN_CODE was previously null.,
10276,Citharichthys xanthostigma,Longfin Sanddab,LDAB,125,,,
10647,Thalassenchelys coheni,Leaf Like Eel,LEEE,1251,,PACFIN_CODE was previously null.,
10514,Dermochelys coriacea,Leatherback Turtle,LETU,1073,,PACFIN_CODE was previously null.,
10154,Phosichthyidae,Lightfish Unid,LIGU,150,,PACFIN_CODE was previously null.,
10641,Isurus paucus,Longfin Mako Shark,LMSH,1249,,PACFIN_CODE was previously null.,
10451,Zaniolepis latipinnis,Longspine Combfish,LOCO,690,,PACFIN_CODE was previously null.,
10648,Tactostoma macropus,Longfin Dragonfish,LODR,10647,,PACFIN_CODE was previously null.,
10151,Alepisaurus ferox,Longnose Lancetfish,LOLA,785,,PACFIN_CODE was previously null.,
10160,Gaviidae,Loon Unid,LOON,944,,PACFIN_CODE was previously null.,
10161,Malacosteinae,Loosejaw Unid,LOOU,152,,PACFIN_CODE was previously null.,
10650,Spirinchus thaleichthys,Longfin Smelt,LOSM,1253,,PACFIN_CODE was previously null.,
10407,Caretta caretta,Loggerhead Turtle,LOTU,1074,,PACFIN_CODE was previously null.,
10162,Luvarus imperialis,Louvar,LOUV,153,,PACFIN_CODE was previously null.,
10378,Oceanodroma microsoma,Least Storm-Petrel,LPET,966,,PACFIN_CODE was previously null.,
10337,Raja rhina,Longnose Skate,LSKT,554,,,
10377,Oceanodroma leucorhoa,Leachs Storm-Petrel,LSPE,965,,PACFIN_CODE was previously null.,
10239,Sebastolobus altivelis,Longspine Thornyhead,LSPN,352,,,
10317,Triakis semifasciata,Leopard Shark,LSRK,582,,,
10707,Stercorarius longicaudus,Long-Tailed Jaeger,LTJA,1297,,PACFIN_CODE was previously null.,
10305,Prionotus stephanophrys,Lumptail Searobin,LUMS,792,,PACFIN_CODE was previously null.,
10164,Cyclopteridae,Lumpsucker Unid,LUMU,525,,PACFIN_CODE was previously null.,
10564,Leiocottus hirundo,Lavender Sculpin,LVSC,867,,PACFIN_CODE was previously null.,
10066,Hyas spp.,Lyre Unid Crab,LYRU,840,,PACFIN_CODE was previously null.,
10474,Scombridae,Mackerel Unid,MACU,196,,PACFIN_CODE was previously null.,
10611,Isurus oxyrinchus,Bonito [Shortfin Mako] Shark,MAKO,1219,,,
10176,Brachyramphus marmoratus,Marbled Murrelet,MAMU,994,,PACFIN_CODE was previously null.,
10169,Caristius macropus,Manefish,MANE,774,,PACFIN_CODE was previously null.,
10624,Manta birostris,Manta Ray,MARA,1231,,PACFIN_CODE was previously null.,
10538,Mammalia,Marine mammal Unid,MARU,1000,,PACFIN_CODE was previously null.,
10669,Stomatopoda,Mantis Shrimp,MASH,1272,,PACFIN_CODE was previously null.,
10575,Loxorhynchus crispatus,Masking Crab,MASU,878,,PACFIN_CODE was previously null.,
10170,Icichthys lockingtoni,Medusafish,MEDU,154,,PACFIN_CODE was previously null.,
10482,Cebidichthys violaceus,Monkeyface Prickleback,MEEL,272,,,
10132,Larus canus,Mew Gull,MEGU,980,,PACFIN_CODE was previously null.,
10098,Melanostigma pammelas,Midwater Eelpout,MIDE,259,,PACFIN_CODE was previously null.,
10566,Batrachoididae,Midshipman [Toadfish] Unid,MIDU,869,,PACFIN_CODE was previously null.,
10515,Balaenoptera acutorostrata,Minke Whale,MIWH,1037,,PACFIN_CODE was previously null.,
10432,Mola mola,Mola Mola [Sunfish],MOLA,810,,PACFIN_CODE was previously null.,
10659,Moridae,Moridae Unid,MORI,1262,,PACFIN_CODE was previously null.,
10712,Muraenidae,Moray Unid,MORU,1302,,PACFIN_CODE was previously null.,
10171,Porichthys notatus,Plainfin Midshipman,MSHP,664,,,
10691,Anthomastus ritteri,Mushroom Coral,MUCO,1292,,PACFIN_CODE was previously null.,
10175,Uria,Murre Unid,MURRE,987,,PACFIN_CODE was previously null.,
10240,Sebastes macdonaldi,Mexican Rockfish,MXRF,370,,,
